100d,69,2
101d,81,4
102d,76,2
104l,249,2
108d,2014,40
109d,82,2
10gs,318,4
10mh,309,3
111d,69,2
112d,68,2
113d,65,2
114d,67,2
115d,68,2
117e,445,4
119d,80,2
11as,455,4
11ba,210,4
11bg,223,4
11gs,320,4
121d,78,2
122d,73,2
123d,78,2
126d,67,2
127d,86,2
128d,85,2
129d,79,2
12as,473,4
12e8,638,4
12gs,319,2
130d,86,2
131d,66,4
133d,53,2
137d,64,1
137l,255,2
13gs,329,6
13pk,1128,8
144d,86,2
145d,117,4
146d,158,6
148l,164,2
14gs,278,4
150d,82,2
150l,463,4
153d,72,1
154d,57,2
157d,72,2
158d,70,4
15c8,299,2
160d,71,1
161d,65,2
165d,72,4
166d,78,2
167d,64,1
167l,240,2
168d,71,2
16gs,317,4
172d,101,4
173d,100,4
174l,241,2
175l,241,2
176l,240,2
178d,71,2
17gs,322,3
180d,46,2
180l,245,2
181d,50,2
182d,77,4
185d,243,5
18gs,352,4
190d,122,8
191d,69,5
192d,56,2
194d,71,2
195d,80,1
196d,85,3
197d,58,2
198d,111,7
199d,163,2
19gs,339,4
19hc,1098,4
1a00,429,8
1a01,426,8
1a02,353,5
1a04,310,2
1a05,512,4
1a07,222,4
1a08,214,4
1a09,259,4
1a0a,172,4
1a0c,1276,8
1a0d,1198,8
1a0e,631,4
1a0f,307,4
1a0g,411,4
1a0h,611,6
1a0j,635,8
1a0l,677,8
1a0m,47,2
1a0o,544,4
1a0q,308,4
1a0r,413,4
1a0s,837,6
1a0t,860,6
1a0u,428,8
1a0z,429,8
1a12,831,3
1a14,471,1
1a15,120,2
1a1a,265,4
1a1b,209,4
1a1c,218,4
1a1e,217,4
1a1f,131,3
1a1g,136,3
1a1h,137,3
1a1i,146,3
1a1j,136,2
1a1k,135,3
1a1l,133,3
1a1m,298,3
1a1n,315,2
1a1o,289,3
1a1q,77,2
1a1r,342,6
1a1v,396,2
1a21,304,2
1a22,284,2
1a25,227,4
1a28,375,4
1a2a,666,4
1a2c,267,4
1a2d,198,4
1a2k,626,8
1a2l,257,2
1a2m,255,2
1a2o,485,2
1a2p,518,6
1a2v,2768,12
1a2w,194,4
1a2x,164,2
1a2y,292,3
1a2z,650,8
1a30,166,3
1a31,462,3
1a34,331,5
1a35,456,3
1a36,461,3
1a3a,433,4
1a3b,251,4
1a3e,244,4
1a3g,655,6
1a3i,44,5
1a3j,40,3
1a3l,325,2
1a3n,447,8
1a3o,448,8
1a3q,496,4
1a3r,327,3
1a3w,657,4
1a3x,655,4
1a3y,301,2
1a46,251,4
1a49,2877,16
1a4a,277,4
1a4b,314,4
1a4c,543,8
1a4e,1420,8
1a4f,236,4
1a4g,586,4
1a4i,435,4
1a4j,589,4
1a4k,605,7
1a4l,976,8
1a4m,1053,8
1a4p,158,2
1a4q,591,4
1a4r,288,4
1a4s,1317,4
1a4u,358,2
1a4w,249,4
1a4x,268,4
1a4y,757,4
1a4z,1294,8
1a50,453,4
1a52,362,4
1a5a,462,2
1a5b,456,3
1a5d,285,2
1a5f,296,2
1a5g,252,4
1a5h,470,6
1a5k,515,3
1a5l,501,3
1a5m,515,3
1a5n,517,3
1a5o,525,3
1a5s,443,4
1a5u,2863,16
1a61,257,4
1a64,151,2
1a69,511,6
1a6a,292,3
1a6e,812,4
1a6j,230,4
1a6p,150,2
1a6u,183,2
1a6v,524,7
1a6w,192,2
1a6y,229,6
1a6z,523,4
1a71,517,4
1a73,343,9
1a74,322,6
1a75,187,4
1a78,204,3
1a79,484,8
1a7a,629,4
1a7c,285,1
1a7h,148,2
1a7k,948,8
1a7l,747,6
1a7n,185,2
1a7o,180,2
1a7p,183,2
1a7q,174,2
1a7r,182,2
1a7t,353,4
1a7u,407,2
1a7v,204,4
1a7x,223,1
1a7y,104,2
1a7z,117,3
1a84,81,1
1a88,579,3
1a8g,168,2
1a8j,301,1
1a8k,395,5
1a8m,331,3
1a8r,2327,30
1a8t,345,4
1a8u,438,4
1a8v,187,4
1a92,167,4
1a94,395,5
1a95,428,8
1a96,426,7
1a97,399,8
1a98,190,2
1a99,947,8
1a9c,2773,30
1a9e,287,3
1a9h,75,1
1a9j,72,1
1a9m,162,2
1a9w,408,4
1a9x,4229,16
1aa1,1607,12
1aa5,101,4
1aa7,283,2
1aal,118,1
1aap,102,2
1aar,121,2
1aay,140,3
1aaz,225,2
1ab5,183,2
1ab6,185,2
1ab8,280,4
1ab9,195,5
1abb,2218,8
1abi,269,3
1abj,248,2
1abo,127,6
1abr,514,1
1abw,463,5
1aby,422,5
1ac1,273,2
1ac6,177,2
1acb,231,2
1acm,638,6
1acv,273,2
1ad0,576,4
1ad1,383,4
1ad3,751,4
1ad4,380,4
1ad5,745,4
1ad8,248,3
1ad9,584,4
1adb,637,4
1adc,629,4
1ade,830,2
1adi,798,2
1adj,1120,8
1ado,1421,8
1adu,408,2
1adv,408,2
1adw,183,3
1ady,1119,8
1ae1,363,4
1ae8,257,4
1ae9,254,2
1aei,1550,24
1aer,298,4
1af6,889,6
1afa,390,6
1afb,387,6
1afc,820,8
1afd,369,6
1afe,256,4
1afk,205,4
1afl,205,4
1afq,192,5
1afr,1448,12
1afs,470,4
1afu,186,2
1afv,785,2
1afw,539,3
1ag0,199,4
1ag1,345,2
1ag8,1260,4
1ag9,315,3
1agb,306,3
1agc,312,3
1agd,316,3
1age,307,3
1agf,413,3
1agj,365,2
1agn,1007,8
1agq,306,4
1agr,687,6
1ags,67,2
1agw,408,4
1ah8,357,4
1ahe,576,4
1ahf,579,4
1ahg,591,2
1ahh,350,4
1ahi,365,4
1ahj,1080,4
1ahp,1070,8
1ahs,265,2
1aht,244,4
1ahu,779,4
1ahv,769,2
1ahx,590,4
1ahy,589,3
1ahz,770,5
1ai0,3871,90
1ai4,574,2
1ai5,580,2
1ai6,573,2
1ai7,579,2
1ai8,261,4
1ai9,319,4
1aia,535,2
1aib,541,2
1aic,541,2
1aid,164,1
1aig,1296,10
1aih,492,8
1aij,1306,10
1aik,96,2
1aio,126,6
1aip,1457,6
1aiq,406,2
1ais,350,4
1aix,258,4
1aiy,3872,70
1aiz,215,4
1aj5,266,2
1aj8,565,4
1aj9,248,4
1ajb,595,3
1ajc,574,4
1ajd,577,4
1ajk,332,4
1ajn,581,2
1ajo,324,4
1ajp,586,4
1ajq,584,2
1ajr,591,2
1ajs,593,2
1ajv,158,2
1ajx,165,2
1ajy,2411,26
1ak4,527,4
1aka,603,4
1ake,349,4
1akh,183,3
1akj,438,5
1akk,158,1
1aks,216,2
1al2,642,6
1al4,243,2
1al9,77,1
1alh,765,4
1ali,596,4
1alj,591,4
1alk,585,4
1all,247,4
1alv,346,4
1alw,284,3
1alx,220,3
1alz,224,4
1am4,803,9
1am7,360,6
1am9,388,10
1amh,315,4
1amo,868,4
1amt,94,8
1amu,741,4
1an0,289,4
1an1,202,2
1an5,402,3
1an9,498,4
1ana,52,2
1ani,601,4
1anj,604,4
1ank,426,3
1anw,470,4
1anx,711,6
1ao0,1235,8
1ao3,266,2
1ao5,343,3
1ao6,778,2
1ao7,517,6
