100d,69,2,0
101d,81,4,0
102d,76,2,0
104l,249,2,0
108d,2014,40,0
109d,82,2,0
10gs,319,4,0
10mh,310,3,0
111d,70,2,0
112d,68,2,0
113d,66,2,0
114d,67,2,0
115d,68,2,0
117e,445,4,0
119d,80,2,0
11as,455,4,0
11ba,211,4,0
11bg,224,4,0
11gs,321,4,0
121d,79,2,0
122d,73,2,0
123d,78,2,0
126d,67,2,0
127d,86,2,0
128d,86,2,0
129d,80,2,0
12as,474,4,0
12e8,639,4,0
12gs,320,4,0
130d,86,2,0
131d,67,4,0
133d,53,2,0
137d,65,2,0
137l,255,2,0
13gs,330,6,0
13pk,1129,8,0
144d,87,2,0
145d,117,4,0
146d,158,6,0
148l,165,2,0
14gs,279,4,0
150d,83,2,0
150l,464,4,0
153d,73,2,0
154d,57,2,0
157d,73,2,0
158d,70,4,0
15c8,299,2,0
160d,72,2,0
161d,65,2,0
165d,72,4,0
166d,78,2,0
167d,64,2,0
167l,240,2,0
168d,71,2,0
16gs,318,4,0
172d,102,4,0
173d,101,4,0
174l,242,2,0
175l,241,2,0
176l,241,2,0
178d,72,2,0
17gs,322,4,0
180d,47,2,0
180l,246,2,0
181d,51,2,0
182d,78,4,0
185d,244,5,0
18gs,352,4,0
190d,122,8,0
191d,69,7,0
192d,57,2,0
194d,71,2,0
195d,80,2,0
196d,86,4,0
197d,59,2,0
198d,111,7,0
199d,163,3,0
19gs,339,4,0
19hc,1099,4,0
1a00,430,8,0
1a01,426,8,0
1a02,353,5,0
1a04,310,2,0
1a05,512,4,0
1a07,222,4,0
1a08,215,4,0
1a09,260,4,0
1a0a,172,4,0
1a0c,1276,8,0
1a0d,1198,8,0
1a0e,631,4,0
1a0f,308,4,0
1a0g,412,4,0
1a0h,612,6,0
1a0j,636,8,0
1a0l,677,8,0
1a0m,47,2,0
1a0o,544,4,0
1a0q,309,4,0
1a0r,414,4,0
1a0s,838,6,0
1a0t,860,6,0
1a0u,429,8,0
1a0z,430,8,0
1a12,832,3,0
1a14,472,1,0
1a15,121,2,0
1a1a,266,4,0
1a1b,210,4,0
1a1c,218,4,0
1a1e,218,4,0
1a1f,131,3,0
1a1g,136,3,0
1a1h,137,3,0
1a1i,146,3,0
1a1j,136,3,0
1a1k,136,3,0
1a1l,134,3,0
1a1m,298,3,0
1a1n,316,3,0
1a1o,290,3,0
1a1q,78,3,0
1a1r,343,6,0
1a1v,397,2,0
1a21,305,2,0
1a22,285,2,0
1a25,227,4,0
1a28,375,4,0
1a2a,666,4,0
1a2c,267,4,0
1a2d,198,4,0
1a2e,67,2,0
1a2k,626,8,0
1a2l,257,2,0
1a2m,256,2,0
1a2o,486,2,0
1a2p,518,6,0
1a2v,2768,12,0
1a2w,194,4,0
1a2x,164,2,0
1a2y,292,3,0
1a2z,651,8,0
1a30,166,3,0
1a31,463,3,0
1a34,332,5,0
1a35,456,3,0
1a36,461,3,0
1a3a,433,4,0
1a3b,251,4,0
1a3e,245,4,0
1a3g,655,6,0
1a3i,44,5,0
1a3j,40,3,0
1a3l,326,2,0
1a3n,448,8,0
1a3o,448,8,0
1a3q,497,4,0
1a3r,327,3,0
1a3w,658,4,0
1a3x,656,4,0
1a3y,302,2,0
1a46,251,4,0
1a49,2878,16,0
1a4a,278,4,0
1a4b,314,4,0
1a4c,544,8,0
1a4e,1421,8,0
1a4f,237,4,0
1a4g,587,4,0
1a4i,436,4,0
1a4j,589,4,0
1a4k,606,8,0
1a4l,977,8,0
1a4m,1053,8,0
1a4p,159,2,0
1a4q,591,4,0
1a4r,289,4,0
1a4s,1317,4,0
1a4u,358,2,0
1a4w,249,4,0
1a4x,269,4,0
1a4y,757,4,0
1a4z,1294,8,0
1a50,453,4,0
1a52,363,4,0
1a5a,463,2,0
1a5b,457,4,0
1a5d,285,2,0
1a5f,297,2,0
1a5g,252,4,0
1a5h,470,6,0
1a5k,516,3,0
1a5l,502,3,0
1a5m,515,3,0
1a5n,518,3,0
1a5o,525,3,0
1a5s,443,4,0
1a5u,2863,16,0
1a61,257,4,0
1a64,151,2,0
1a69,512,6,0
1a6a,292,3,0
1a6e,813,4,0
1a6j,231,4,0
1a6p,150,2,0
1a6u,184,2,0
1a6v,525,7,0
1a6w,192,2,0
1a6y,230,6,0
1a6z,524,4,0
1a71,518,4,0
1a73,344,9,0
1a74,322,6,0
1a75,187,4,0
1a78,204,4,0
1a79,485,8,0
1a7a,629,4,0
1a7c,286,2,0
1a7h,149,2,0
1a7k,948,8,0
1a7l,748,6,0
1a7n,186,2,0
1a7o,181,2,0
1a7p,184,2,0
1a7q,175,2,0
1a7r,182,2,0
1a7t,353,4,0
1a7u,407,2,0
1a7v,204,4,0
1a7x,224,2,0
1a7y,104,2,0
1a7z,117,3,0
1a84,82,1,0
1a88,579,3,0
1a8g,168,2,0
1a8j,302,1,0
1a8k,396,6,0
1a8m,331,3,0
1a8r,2328,30,0
1a8t,345,4,0
1a8u,439,4,0
1a8v,187,4,0
1a92,168,4,0
1a94,395,6,0
1a95,428,8,0
1a96,427,8,0
1a97,400,8,0
1a98,190,2,0
1a99,947,8,0
1a9c,2773,30,0
1a9e,288,3,0
1a9h,76,1,0
1a9j,72,1,0
1a9m,162,2,0
1a9w,408,4,0
1a9x,4229,16,0
1aa1,1608,12,0
1aa5,102,4,0
1aa7,284,2,0
1aal,118,2,0
1aap,103,2,0
1aar,121,2,0
1aay,140,3,0
1aaz,225,2,0
1ab5,183,2,0
1ab6,186,2,0
1ab8,281,4,0
1ab9,195,5,0
1abb,2218,8,0
1abi,269,3,0
1abj,248,2,0
1abo,127,6,0
1abr,515,2,0
1abw,463,6,0
1aby,423,6,0
